BookLoan_TABLE_loan_id,REF_TABLE_book_id,REF_TABLE_student_id,BookLoan_TABLE_loan_date,BookLoan_TABLE_return_date,Book_TABLE_title,Book_TABLE_author,Book_TABLE_isbn,REF_TABLE_library_id,Library_TABLE_name,Library_TABLE_location,Student_TABLE_name,Student_TABLE_email,Student_TABLE_date_of_birth,Student_TABLE_major,Enrollment_TABLE_enrollment_id,Enrollment_TABLE_course_id,Enrollment_TABLE_semester,Enrollment_TABLE_grade,Submission_TABLE_submission_id,Submission_TABLE_assignment_id,Submission_TABLE_submission_date,Submission_TABLE_grade
2,2,736,2024-02-02,2025-07-16,Kind property.,Keith Rose,978-0-373-12608-8,2,"Marshall, Adams and Davenport Library","5177 Ashley Trail
Meganfort, OK 10722",Lauren Fields,vwolf@example.org,1998-10-09,354,117,764,Winter 2020,F,215,415,2022-09-05 20:26:54,D
2,2,736,2024-02-02,2025-07-16,Kind property.,Keith Rose,978-0-373-12608-8,2,"Marshall, Adams and Davenport Library","5177 Ashley Trail
Meganfort, OK 10722",Lauren Fields,vwolf@example.org,1998-10-09,354,117,764,Winter 2020,F,511,29,2022-06-12 22:56:41,F
2,2,736,2024-02-02,2025-07-16,Kind property.,Keith Rose,978-0-373-12608-8,2,"Marshall, Adams and Davenport Library","5177 Ashley Trail
Meganfort, OK 10722",Lauren Fields,vwolf@example.org,1998-10-09,354,236,761,Summer 2019,F,215,415,2022-09-05 20:26:54,D
2,2,736,2024-02-02,2025-07-16,Kind property.,Keith Rose,978-0-373-12608-8,2,"Marshall, Adams and Davenport Library","5177 Ashley Trail
Meganfort, OK 10722",Lauren Fields,vwolf@example.org,1998-10-09,354,236,761,Summer 2019,F,511,29,2022-06-12 22:56:41,F
5,5,978,2024-06-16,2025-03-10,Stop stop very.,Lisa Stone,978-1-77393-369-6,5,"Cook, Lynch and Pugh Library","28090 Phillips Vista
New Johnbury, NY 87270",Carla Reeves MD,allengordon@example.net,1996-08-12,673,998,173,Winter 2023,,66,728,2022-10-18 11:22:00,C
12,12,503,2023-11-23,2025-09-14,Role choice cultural.,Heidi Dixon,978-1-391-19905-4,12,"Cooper, Cummings and Dillon Library","91427 Thomas Harbors
Wendymouth, HI 55205",Sue Ramsey PhD,bradleymay@example.net,2000-05-21,12,969,362,Summer 2022,C,481,133,2022-07-09 14:39:09,I
915,915,503,2023-12-13,2025-05-05,More increase.,Cheryl Miller,978-1-4941-3685-7,915,Garcia-Malone Library,"48905 Evans Parkways Apt. 239
Brianstad, ND 92753",Sue Ramsey PhD,bradleymay@example.net,2000-05-21,12,969,362,Summer 2022,C,481,133,2022-07-09 14:39:09,I
13,13,377,2024-01-29,2025-04-04,Word help environmental I.,Stacy Mccoy,978-0-8266-5387-1,13,"Harris, Hebert and Garcia Library","2647 Ellis Shores
South Pambury, WA 33764",Melinda Osborne,haley83@example.org,2001-07-16,843,471,86,Winter 2023,B,101,269,2022-01-26 20:19:39,F
13,13,377,2024-01-29,2025-04-04,Word help environmental I.,Stacy Mccoy,978-0-8266-5387-1,13,"Harris, Hebert and Garcia Library","2647 Ellis Shores
South Pambury, WA 33764",Melinda Osborne,haley83@example.org,2001-07-16,843,471,86,Winter 2023,B,267,748,2022-07-02 17:05:24,D
13,13,377,2024-01-29,2025-04-04,Word help environmental I.,Stacy Mccoy,978-0-8266-5387-1,13,"Harris, Hebert and Garcia Library","2647 Ellis Shores
South Pambury, WA 33764",Melinda Osborne,haley83@example.org,2001-07-16,843,489,66,Summer 2023,B,101,269,2022-01-26 20:19:39,F
13,13,377,2024-01-29,2025-04-04,Word help environmental I.,Stacy Mccoy,978-0-8266-5387-1,13,"Harris, Hebert and Garcia Library","2647 Ellis Shores
South Pambury, WA 33764",Melinda Osborne,haley83@example.org,2001-07-16,843,489,66,Summer 2023,B,267,748,2022-07-02 17:05:24,D
14,14,768,2023-12-20,2024-11-29,Difficult exist he.,Kelly Jones,978-0-01-768927-6,14,Barnett-Matthews Library,"PSC 0545, Box 2217
APO AP 92591",Greg Nichols,taylorjennifer@example.com,1996-06-02,903,430,656,Spring 2023,C,455,91,2022-11-17 12:57:55,B
14,14,768,2023-12-20,2024-11-29,Difficult exist he.,Kelly Jones,978-0-01-768927-6,14,Barnett-Matthews Library,"PSC 0545, Box 2217
APO AP 92591",Greg Nichols,taylorjennifer@example.com,1996-06-02,903,430,656,Spring 2023,C,667,976,2022-04-21 02:59:23,D
14,14,768,2023-12-20,2024-11-29,Difficult exist he.,Kelly Jones,978-0-01-768927-6,14,Barnett-Matthews Library,"PSC 0545, Box 2217
APO AP 92591",Greg Nichols,taylorjennifer@example.com,1996-06-02,903,442,24,Spring 2020,B,455,91,2022-11-17 12:57:55,B
14,14,768,2023-12-20,2024-11-29,Difficult exist he.,Kelly Jones,978-0-01-768927-6,14,Barnett-Matthews Library,"PSC 0545, Box 2217
APO AP 92591",Greg Nichols,taylorjennifer@example.com,1996-06-02,903,442,24,Spring 2020,B,667,976,2022-04-21 02:59:23,D
15,15,183,2024-03-06,2025-08-31,Big guess everybody then.,Michael Payne,978-0-7150-2554-3,15,"Cook, Roberts and Wu Library","7129 George Course
Bensonbury, NC 23351",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,660,164,2022-01-29 15:15:50,I
15,15,183,2024-03-06,2025-08-31,Big guess everybody then.,Michael Payne,978-0-7150-2554-3,15,"Cook, Roberts and Wu Library","7129 George Course
Bensonbury, NC 23351",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,1048,635,2022-07-04 14:46:12,B
399,399,183,2024-07-31,2024-10-29,Management budget.,Rebecca Knapp,978-0-554-67259-5,399,Edwards-Perez Library,"70836 Wright Walks Apt. 585
South Stevenborough, WV 60197",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,660,164,2022-01-29 15:15:50,I
399,399,183,2024-07-31,2024-10-29,Management budget.,Rebecca Knapp,978-0-554-67259-5,399,Edwards-Perez Library,"70836 Wright Walks Apt. 585
South Stevenborough, WV 60197",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,1048,635,2022-07-04 14:46:12,B
999,999,183,2023-12-18,2025-07-27,Together hospital necessary.,Denise Martinez,978-1-01-519825-8,999,Nelson-Garza Library,"12895 Nguyen Gateway Suite 774
Muellerside, PW 90866",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,660,164,2022-01-29 15:15:50,I
999,999,183,2023-12-18,2025-07-27,Together hospital necessary.,Denise Martinez,978-1-01-519825-8,999,Nelson-Garza Library,"12895 Nguyen Gateway Suite 774
Muellerside, PW 90866",Lindsey Hunter,rodney64@example.com,1997-08-21,210,291,441,Summer 2022,A,1048,635,2022-07-04 14:46:12,B
